"Personas","Edad","Tiempo","Monto","Dia","Soporte","Encuesta"
"AAHTPZ",14,1.77,17700,"Sabado","Si","Normal"
"XDIGCM",64,3.69,36900,"Viernes","No","Normal"
"VEVDFT",34,1.29,12900,"Sabado","Si","Buena"
"WFESKU",70,1.78,17800,"Domingo","No","Muy Buena"
"WWKJSC",83,3.14,31400,"Domingo","No","Muy mala"
"MTYJPL",5,1.41,14100,"Sabado","No","Mala"
"PJFLOW",5,1.68,16800,"Jueves","No","Buena"
"OEJRGQ",36,2.48,24800,"Miercoles","No","Muy mala"
"WRVCDQ",55,2.45,24500,"Sabado","No","Mala"
"CIRUMG",72,2.71,27100,"Miercoles","No","Normal"
"LMNYEP",89,2.36,23600,"Miercoles","Si","Normal"
"BZIPNM",70,2.56,25600,"Viernes","No","Muy Buena"
"BTNZEW",69,2.19,21900,"Lunes","Si","Normal"
"ROTWER",85,1.8,18000,"Miercoles","No","Muy Buena"
"QYXHEG",20,0.86,8600,"Martes","No","Normal"
"FGRQMV",46,1.1,11000,"Lunes","No","Normal"
"AUWINB",48,3.65,36500,"Sabado","No","Buena"
"BGMSVU",46,1.81,18100,"Miercoles","No","Muy mala"
"EXDPXZ",77,2.8,28000,"Jueves","No","Mala"
"XJYYMU",72,3.89,38900,"Domingo","No","Buena"
"WRGSWX",25,2.65,26500,"Lunes","No","Normal"
"VZXDUD",70,0.56,5600,"Lunes","No","Muy Buena"
"LXUTFH",82,3.58,35800,"Viernes","No","Muy Buena"
"JLXUNG",86,3.49,34900,"Sabado","No","Buena"
"PPMNJE",64,0.59,5900,"Domingo","No","Normal"
"ECDRNU",79,2.85,28500,"Domingo","No","Buena"
"XZYPHX",77,1.77,17700,"Domingo","No","Mala"
"UALPXX",55,1.03,10300,"Viernes","No","Normal"
"FYLLQE",43,3.57,35700,"Jueves","No","Normal"
"WMAQJB",19,3.76,37600,"Sabado","No","Buena"
"QQWTOX",41,1.46,14600,"Domingo","No","Muy mala"
"OMFKTC",72,2.24,22400,"Sabado","No","Buena"
"YSJJIM",89,2.55,25500,"Domingo","No","Normal"
"YBCPSY",6,3.6,36000,"Martes","No","Normal"
"FXYRVM",11,2.79,27900,"Martes","No","Normal"
"JJWEDT",44,1.28,12800,"Domingo","No","Mala"
"EGIQYB",61,1.94,19400,"Martes","No","Normal"
"NKNKIT",38,2.74,27400,"Domingo","No","Normal"
"VBINFA",54,1.58,15800,"Domingo","No","Normal"
"GHLDXV",84,2.99,29900,"Domingo","Si","Normal"
"JKBVCT",84,2.07,20700,"Miercoles","No","Mala"
"FVVCQU",83,3.03,30300,"Sabado","No","Normal"
"NIWAYT",47,0.52,5200,"Sabado","No","Buena"
"QMROOI",83,2.62,26200,"Sabado","Si","Muy Buena"
"KKAQNJ",83,2.12,21200,"Martes","No","Buena"
"GFBBDX",66,2.87,28700,"Sabado","No","Mala"
"WZHNNW",72,3.8,38000,"Martes","No","Normal"
"SLKROT",36,1.4,14000,"Sabado","No","Mala"
"SHQGUY",38,2.83,28300,"Miercoles","Si","Mala"
"NGINBW",86,1.68,16800,"Domingo","Si","Normal"
"VNNDJI",46,0.82,8200,"Sabado","No","Normal"
"XITNFZ",11,3.24,32400,"Domingo","No","Buena"
"ENYHWU",60,1.43,14300,"Sabado","No","Mala"
"LQRRWZ",17,2.41,24100,"Sabado","No","Muy Buena"
"MYNOBO",7,2.23,22300,"Domingo","No","Buena"
"AQMZTZ",26,2.36,23600,"Miercoles","No","Muy Buena"
"ZTOVRH",14,3.37,33700,"Jueves","No","Normal"
"LBJXJX",76,2.55,25500,"Miercoles","No","Normal"
"KRLJDP",73,3.56,35600,"Domingo","No","Buena"
"VBSBWN",66,3.77,37700,"Miercoles","No","Normal"
"RMFQIU",47,0.77,7700,"Miercoles","No","Muy mala"
"FZFJIF",83,3.04,30400,"Sabado","No","Muy mala"
"OBWPBP",86,0.96,9600,"Martes","No","Muy Buena"
"NNNRAA",59,1.9,19000,"Sabado","No","Normal"
"HVWQOL",70,2.35,23500,"Jueves","No","Mala"
"PHPHAB",30,0.75,7500,"Viernes","No","Buena"
"VAGWXN",31,2.85,28500,"Domingo","No","Buena"
"MWNOXT",47,2.23,22300,"Lunes","Si","Buena"
"UDIVVU",92,2.34,23400,"Miercoles","No","Normal"
"CKDXTE",8,3.21,32100,"Jueves","No","Mala"
"XOZIZQ",58,3.54,35400,"Viernes","Si","Normal"
"QLIGFG",50,0.64,6400,"Sabado","Si","Muy mala"
"QEDKMR",84,2.59,25900,"Sabado","No","Normal"
"LXQEJB",65,2.04,20400,"Lunes","Si","Mala"
"UJVDYT",37,1.02,10200,"Sabado","No","Mala"
"HOVVFA",61,1.42,14200,"Sabado","No","Muy mala"
"FKTIOI",73,3.49,34900,"Jueves","No","Buena"
"BOCMNS",53,2.12,21200,"Domingo","Si","Mala"
"INKYQB",21,2.52,25200,"Domingo","No","Mala"
"ZXJXBX",36,0.6,6000,"Domingo","No","Mala"
"OROVEL",59,0.76,7600,"Viernes","No","Mala"
"ABEQQM",30,0.6,6000,"Sabado","No","Normal"
"LAHLXC",16,1.59,15900,"Jueves","No","Normal"
"UEYPYX",49,3.92,39200,"Sabado","No","Normal"
"PSINEW",40,2.58,25800,"Sabado","No","Mala"
"JXZUOI",77,0.75,7500,"Miercoles","No","Mala"
"NVFBDO",56,3.57,35700,"Sabado","No","Buena"
"WRAMPB",26,3.67,36700,"Sabado","Si","Normal"
"HEXAOY",26,0.73,7300,"Martes","No","Mala"
"SFSYDO",26,1.33,13300,"Sabado","No","Muy mala"
"UYPWWS",66,3.22,32200,"Sabado","No","Normal"
"LRNSCC",12,0.69,6900,"Domingo","Si","Mala"
"KITZSG",88,1.66,16600,"Domingo","No","Muy mala"
"VOTDXB",44,0.59,5900,"Lunes","Si","Muy Buena"
"FFKIAU",25,3.47,34700,"Lunes","No","Normal"
"QBAVQI",45,1.35,13500,"Domingo","No","Muy Buena"
"LBQXDM",61,0.56,5600,"Domingo","No","Muy mala"
"XBGVOC",38,2.37,23700,"Domingo","No","Muy Buena"
"IRIKDW",66,2.43,24300,"Martes","No","Normal"
"SFJOEP",24,0.77,7700,"Domingo","No","Normal"
"DQMEZR",76,2.79,27900,"Viernes","No","Buena"
"FODNRD",82,0.94,9400,"Martes","No","Normal"
"JXJUOD",55,3.92,39200,"Lunes","Si","Muy Buena"
"PLSTYI",30,2.96,29600,"Lunes","No","Mala"
"ENGZWX",63,3.07,30700,"Viernes","No","Buena"
"OSSPDZ",44,1.26,12600,"Domingo","No","Muy mala"
"PWLBMT",14,2.81,28100,"Miercoles","No","Normal"
"OXJVZX",16,2.45,24500,"Martes","No","Normal"
"KGGBIH",67,1.86,18600,"Martes","Si","Muy Buena"
"WHXSAV",8,2.87,28700,"Sabado","No","Normal"
"TBRPAV",89,1.9,19000,"Viernes","No","Normal"
"ASXSKH",90,1.29,12900,"Domingo","No","Muy mala"
"ASHCRT",62,3.08,30800,"Jueves","No","Mala"
"HUFNFJ",6,2.98,29800,"Lunes","No","Mala"
"MPCYQK",70,0.52,5200,"Viernes","No","Normal"
"FXZJJS",20,2.21,22100,"Sabado","Si","Buena"
"GVYNCW",20,1.11,11100,"Domingo","Si","Normal"
"JOOWYW",57,2.89,28900,"Martes","Si","Normal"
"UFANJO",78,2.85,28500,"Domingo","No","Mala"
"IREYEH",75,2.76,27600,"Viernes","No","Muy Buena"
"MQTJHL",63,0.94,9400,"Lunes","No","Muy mala"
"ANOAKM",91,2.25,22500,"Domingo","No","Normal"
"PFEABY",22,2.94,29400,"Martes","No","Normal"
"LSHEDN",79,0.94,9400,"Viernes","No","Normal"
"YQBURY",24,3.01,30100,"Viernes","No","Normal"
"QFVFCO",89,1.28,12800,"Miercoles","No","Normal"
"HPWIYM",78,0.83,8300,"Domingo","No","Buena"
"EHVVUO",72,1.84,18400,"Domingo","No","Mala"
"KRVLGS",76,1.26,12600,"Martes","No","Normal"
"TSRGFC",38,2.13,21300,"Domingo","No","Mala"
"LEELUD",33,3.05,30500,"Viernes","No","Muy Buena"
"KLXGMO",40,3.51,35100,"Sabado","No","Normal"
"USKHPS",10,2.88,28800,"Miercoles","No","Normal"
"HVNPZR",41,3.75,37500,"Miercoles","No","Muy mala"
"UDAJHT",58,3.75,37500,"Lunes","No","Buena"
"UXJBPN",6,2.11,21100,"Domingo","No","Mala"
"QNEGAJ",21,3.28,32800,"Viernes","No","Muy Buena"
"LACIJF",14,1.67,16700,"Viernes","No","Muy mala"
"ZQJNOI",34,2.63,26300,"Jueves","No","Normal"
"FQJVPP",9,3.41,34100,"Domingo","No","Muy mala"
"SUTUXQ",59,0.95,9500,"Domingo","No","Normal"
"VUZBNF",77,3.59,35900,"Martes","No","Normal"
"JPVHCS",79,3.86,38600,"Domingo","No","Mala"
"EUUPPP",55,3.45,34500,"Lunes","No","Normal"
"HBZKCZ",40,3.27,32700,"Lunes","No","Buena"
"XVMCFW",74,1.63,16300,"Domingo","Si","Muy Buena"
"WDAGMM",54,0.82,8200,"Sabado","No","Normal"
"KGWRTG",27,2.31,23100,"Viernes","No","Normal"
"LQJPDE",46,1.24,12400,"Sabado","No","Muy Buena"
"YEXRHT",56,1.44,14400,"Domingo","No","Muy Buena"
"QWRHUH",40,3.8,38000,"Martes","No","Muy Buena"
"NTUKNH",32,2.7,27000,"Sabado","No","Buena"
"NVJLOO",22,0.93,9300,"Domingo","No","Mala"
"AYAWAU",47,3.31,33100,"Sabado","Si","Buena"
"FMLPNE",41,2.39,23900,"Jueves","Si","Mala"
"BHUFPW",54,1.13,11300,"Domingo","No","Mala"
"GDEVSD",26,3.48,34800,"Domingo","No","Mala"
"SMEDRK",11,3.27,32700,"Sabado","No","Mala"
"KKFXDS",21,1.08,10800,"Martes","No","Buena"
"KJJRNH",50,0.69,6900,"Jueves","No","Normal"
"DATOVG",51,3.26,32600,"Jueves","No","Muy Buena"
"LZWCBM",15,3.59,35900,"Domingo","Si","Normal"
"QUHNJC",51,0.88,8800,"Lunes","No","Mala"
"DOOLZF",15,3.88,38800,"Domingo","No","Buena"
"OOIDYI",22,3.6,36000,"Viernes","No","Normal"
"ZHYVYI",70,1.38,13800,"Sabado","No","Normal"
"JLKKFA",36,3.79,37900,"Miercoles","No","Muy mala"
"FLYVCE",5,1.58,15800,"Sabado","No","Buena"
"IBVKMY",45,1.27,12700,"Miercoles","No","Normal"
"SFLGUP",7,3.69,36900,"Sabado","No","Normal"
"CSFGSK",78,1.98,19800,"Miercoles","Si","Mala"
"DOOGYZ",39,1.54,15400,"Sabado","Si","Mala"
"TXRWDH",82,2.37,23700,"Sabado","No","Mala"
"WVMYQR",83,2.57,25700,"Miercoles","No","Muy mala"
"GTYOGN",73,1.82,18200,"Lunes","No","Muy Buena"
"BVATRL",24,3.55,35500,"Sabado","No","Buena"
"QAZLKF",13,0.7,7000,"Sabado","No","Muy Buena"
"QAOBOT",85,1.45,14500,"Domingo","No","Mala"
"NCDEIM",32,3.62,36200,"Domingo","No","Buena"
"BXRUHW",52,2.12,21200,"Lunes","No","Normal"
"WLFEWR",30,1.13,11300,"Domingo","No","Mala"
"HGGHXI",91,1.8,18000,"Sabado","Si","Normal"
"LQUUZM",44,3.69,36900,"Jueves","No","Muy Buena"
"BPTENX",39,3.78,37800,"Jueves","No","Muy mala"
"ICYNRX",48,1.66,16600,"Domingo","No","Buena"
"NOJRIN",59,2.2,22000,"Sabado","Si","Mala"
"XPDHTN",66,1.59,15900,"Domingo","No","Muy Buena"
"NEHTNE",73,3.05,30500,"Miercoles","Si","Normal"
"CZIYMQ",30,1.4,14000,"Jueves","No","Muy mala"
"GNYIUX",8,1.81,18100,"Domingo","No","Muy Buena"
"OENTYL",31,3.6,36000,"Viernes","No","Normal"
"TRGAMF",5,2.11,21100,"Domingo","No","Normal"
"KBKBWL",47,1.76,17600,"Jueves","No","Muy Buena"
"OQNWTC",35,1.37,13700,"Domingo","No","Mala"
"FLOIBY",77,3.87,38700,"Lunes","No","Normal"
"PGKSMT",32,3.22,32200,"Sabado","No","Normal"
"OUVLPC",40,2.62,26200,"Domingo","No","Muy mala"
"ORUIVG",67,3.59,35900,"Martes","Si","Normal"
"ZLAHPZ",71,2.88,28800,"Miercoles","No","Mala"
"JHVQPX",11,3.01,30100,"Viernes","No","Normal"
"ZISLSP",47,3.52,35200,"Viernes","Si","Normal"
"QBFXKX",17,1.8,18000,"Viernes","No","Mala"
"XFXMRO",36,2.27,22700,"Martes","No","Muy mala"
"QDRQBV",82,2.93,29300,"Martes","No","Mala"
"VPXLNG",23,1.76,17600,"Sabado","No","Muy Buena"
"OOIBNT",7,1.28,12800,"Martes","No","Normal"
"OXJKLD",91,0.76,7600,"Domingo","Si","Mala"
"PDMDCH",74,2.01,20100,"Miercoles","No","Normal"
"QLODUD",67,2.41,24100,"Domingo","No","Mala"
"WNAIPI",34,2.52,25200,"Domingo","No","Normal"
"MTRDJV",76,1.39,13900,"Viernes","Si","Normal"
"BGEPVW",53,2.22,22200,"Sabado","No","Muy Buena"
"VUQMYH",19,2.84,28400,"Martes","No","Mala"
"HJVZAW",87,2.4,24000,"Viernes","No","Mala"
"IKZWRE",69,1.42,14200,"Domingo","No","Buena"
"FCDPDX",92,1.55,15500,"Sabado","Si","Normal"
"PJYQPZ",19,1.72,17200,"Viernes","No","Muy Buena"
"UWCFYQ",81,2.76,27600,"Jueves","No","Buena"
"KHAOKJ",35,2.44,24400,"Viernes","No","Mala"
"TIKYCV",13,3.52,35200,"Sabado","No","Normal"
"HXZVLT",33,0.92,9200,"Viernes","No","Mala"
"BWBCLT",28,0.55,5500,"Sabado","No","Normal"
"OKWGZG",56,2.85,28500,"Lunes","No","Muy mala"
"AJCZNO",25,3.53,35300,"Miercoles","No","Muy Buena"
"EAGIRM",39,3.5,35000,"Domingo","Si","Mala"
"VKFLCZ",82,1.61,16100,"Sabado","Si","Buena"
"SSYBRH",11,1.25,12500,"Domingo","Si","Normal"
"EVFGUR",56,1.1,11000,"Domingo","No","Normal"
"DCJQTT",68,3.95,39500,"Martes","No","Mala"
"WQQKJI",35,1.78,17800,"Sabado","No","Buena"
"GFTJFB",27,1.45,14500,"Domingo","No","Buena"
"EXDEJU",43,2.57,25700,"Martes","No","Normal"
"EVFQVJ",41,3,30000,"Lunes","No","Normal"
"QEANSI",42,3.07,30700,"Miercoles","No","Normal"
"QWNVCK",31,0.59,5900,"Lunes","No","Mala"
"LLTVHQ",16,3.86,38600,"Sabado","No","Muy Buena"
"YDEYYH",8,0.87,8700,"Martes","No","Mala"
"VSVMBA",17,1.41,14100,"Sabado","No","Mala"
"FCMWPB",5,0.54,5400,"Domingo","No","Normal"
"TWWASF",78,0.88,8800,"Jueves","No","Muy mala"
"WAKFML",58,2.19,21900,"Sabado","No","Muy mala"
"MJOXUX",56,3.32,33200,"Domingo","Si","Buena"
"CIUJWZ",43,2.48,24800,"Miercoles","No","Normal"
"IFMSJY",70,1.76,17600,"Sabado","No","Buena"
"TQRPOZ",29,3.68,36800,"Lunes","No","Muy Buena"
"IYEBWO",33,3.75,37500,"Lunes","No","Normal"
"QJDZLF",32,3.04,30400,"Jueves","No","Normal"
"UTZSPJ",92,1.29,12900,"Domingo","No","Normal"
"KVOOZX",23,2.08,20800,"Sabado","No","Normal"
"WRRRDI",62,0.77,7700,"Viernes","No","Buena"
"RPXKMR",48,1.11,11100,"Sabado","No","Normal"
"QRGJLW",74,0.83,8300,"Sabado","No","Muy Buena"
"OKRONK",76,1.96,19600,"Miercoles","No","Buena"
"CMHCSV",47,1.06,10600,"Jueves","No","Muy Buena"
"NAIKKR",31,1.88,18800,"Miercoles","No","Muy Buena"
"UAQRDX",40,1.16,11600,"Miercoles","No","Mala"
"POINMT",31,0.89,8900,"Viernes","No","Buena"
"JHBICM",72,3.88,38800,"Viernes","No","Muy Buena"
"RCHFIQ",61,1.34,13400,"Sabado","No","Normal"
"GHVQDN",54,1.72,17200,"Domingo","Si","Buena"
"GSNNOU",72,2.46,24600,"Miercoles","No","Muy Buena"
"CQETML",28,0.51,5100,"Sabado","No","Muy Buena"
"RFVXCT",39,2.52,25200,"Sabado","No","Mala"
"ONXGNO",48,2.84,28400,"Miercoles","No","Buena"
"EMACUZ",48,3.1,31000,"Domingo","No","Mala"
"CPLQAP",25,1.87,18700,"Miercoles","No","Mala"
"UVNBOC",81,1.37,13700,"Viernes","No","Muy mala"
"CGHOGN",20,0.67,6700,"Viernes","No","Muy Buena"
"KDBXUG",19,0.88,8800,"Domingo","No","Normal"
"LTNUZM",36,3.72,37200,"Lunes","No","Mala"
"QHPTEQ",92,3.04,30400,"Jueves","No","Mala"
"DQVMPM",35,0.64,6400,"Sabado","No","Buena"
"IUDJWD",70,2.08,20800,"Domingo","Si","Muy Buena"
"XVWWHX",49,3.62,36200,"Sabado","No","Mala"
"XTQDKK",86,3.65,36500,"Lunes","No","Buena"
"SYQOOD",51,3.78,37800,"Jueves","No","Muy Buena"
"BADLXY",69,2.66,26600,"Domingo","Si","Mala"
"XBBRDK",58,3.98,39800,"Domingo","No","Mala"
"XJTDSD",32,1.13,11300,"Jueves","No","Muy mala"
"EGOOVI",51,2.27,22700,"Domingo","No","Normal"
"NTZEGK",71,2.34,23400,"Miercoles","No","Normal"
"PJRHHV",52,2.35,23500,"Martes","No","Buena"
"DCTPAR",71,2.81,28100,"Lunes","No","Normal"
"MFEQAO",90,3.57,35700,"Jueves","Si","Muy Buena"
"WOIBKD",83,0.63,6300,"Viernes","No","Buena"
"TCRNBK",6,3.19,31900,"Sabado","Si","Muy mala"
"UJMUHN",8,1.57,15700,"Domingo","No","Muy Buena"
"TYOVZE",89,0.65,6500,"Martes","No","Muy mala"
"UGFJUB",23,3.55,35500,"Martes","No","Normal"
"UYIEEY",12,2.23,22300,"Domingo","No","Normal"
"YNKJWD",27,2.26,22600,"Martes","No","Mala"
"XNLCMV",28,3.68,36800,"Lunes","No","Normal"
"SMLSZQ",15,2.36,23600,"Domingo","No","Normal"
"DUQAMF",87,0.69,6900,"Domingo","No","Normal"
"IJNIWN",53,2.76,27600,"Viernes","No","Mala"
"OVRXZB",13,0.93,9300,"Domingo","No","Normal"
"IOBJKI",32,2.64,26400,"Domingo","Si","Buena"
"USWEXF",50,1.25,12500,"Sabado","Si","Muy Buena"
"PXXOSA",25,1.21,12100,"Martes","No","Buena"
"XCOYIE",11,1.77,17700,"Domingo","No","Muy Buena"
"TCHVCZ",77,0.94,9400,"Viernes","Si","Mala"
"MGCYZI",88,2.13,21300,"Martes","No","Mala"
"XKWNZL",87,1.9,19000,"Viernes","No","Normal"
"QBKWSG",76,2.81,28100,"Sabado","No","Normal"
"TABYUA",50,1.28,12800,"Domingo","No","Normal"
"FFSIKF",70,1.92,19200,"Miercoles","No","Buena"
"WHWYBR",42,3.25,32500,"Sabado","No","Normal"
"FMPJWX",63,2.45,24500,"Viernes","No","Muy Buena"
"RDYPJM",90,3.63,36300,"Lunes","Si","Muy Buena"
"HZQFLL",47,2.4,24000,"Domingo","No","Normal"
"STLKFH",79,0.66,6600,"Sabado","No","Muy mala"
"HRHHYD",49,0.59,5900,"Sabado","No","Mala"
"SNXBMH",31,1.1,11000,"Viernes","No","Mala"
"DGGLHR",25,3.68,36800,"Sabado","No","Buena"
"GKXIIS",14,1.82,18200,"Martes","No","Normal"
"ZZOYBV",62,3.1,31000,"Viernes","Si","Muy Buena"
"ESMORJ",50,2.51,25100,"Lunes","No","Normal"
"YGYZYX",36,1.12,11200,"Martes","No","Buena"
"LXWJWW",70,0.87,8700,"Jueves","Si","Normal"
"CUSQKV",27,3.72,37200,"Jueves","No","Buena"
"YMEEAQ",19,0.72,7200,"Sabado","No","Muy mala"
"SLBAQL",5,2.26,22600,"Martes","No","Mala"
"GQHPHP",43,0.94,9400,"Sabado","No","Muy mala"
"VSETCB",25,0.93,9300,"Lunes","Si","Mala"
"DDPPUJ",9,3.41,34100,"Lunes","No","Buena"
"FDKCXI",56,1.76,17600,"Sabado","No","Normal"
"TEOBOK",24,3.51,35100,"Jueves","Si","Normal"
"JDONGC",73,1.84,18400,"Martes","Si","Mala"
"FWOCAN",23,3.97,39700,"Miercoles","Si","Buena"
"EGWOSC",82,3.32,33200,"Domingo","No","Muy Buena"
"MGYVSB",80,1.86,18600,"Sabado","No","Normal"
"NGUOJF",38,2.23,22300,"Domingo","No","Buena"
"UDYYQL",29,3.34,33400,"Jueves","No","Muy Buena"
"KRTWCA",53,1.08,10800,"Viernes","No","Normal"
"ALUBSJ",73,0.65,6500,"Jueves","Si","Buena"
"RAIWLK",69,1.17,11700,"Martes","No","Normal"
"PFOYQK",88,1.44,14400,"Sabado","No","Normal"
"HFGDOW",87,2.5,25000,"Sabado","No","Normal"
"RPLJHO",30,2.37,23700,"Lunes","No","Normal"
"MKXRIS",79,2.68,26800,"Domingo","No","Normal"
"NUVDMZ",56,3.36,33600,"Viernes","Si","Mala"
"MZQSHH",73,0.65,6500,"Domingo","Si","Buena"
"RYMEKU",6,2.24,22400,"Jueves","No","Normal"
"IPTJMX",31,1.55,15500,"Domingo","No","Buena"
"KNSBRW",88,1.63,16300,"Sabado","No","Mala"
"OHIEEX",43,1.21,12100,"Sabado","Si","Muy Buena"
"KLRVCF",46,2.73,27300,"Miercoles","No","Mala"
"WDNMCL",10,2.29,22900,"Viernes","No","Muy Buena"
"RMCXSZ",49,1.05,10500,"Lunes","No","Normal"
"WPPKUM",33,0.59,5900,"Jueves","No","Buena"
"EPFIYL",34,3.74,37400,"Domingo","No","Normal"
"DQFMHS",78,0.77,7700,"Domingo","No","Buena"
"RYRMQP",28,3.02,30200,"Miercoles","No","Buena"
"ASCGDG",39,3.62,36200,"Viernes","No","Muy Buena"
"IYHETC",8,2.74,27400,"Sabado","No","Mala"
"DAROOM",22,0.53,5300,"Sabado","No","Normal"
"MJHOYA",42,0.88,8800,"Miercoles","No","Mala"
"BNDTWI",74,3.86,38600,"Lunes","No","Muy Buena"
"KMBGGH",64,0.83,8300,"Domingo","No","Buena"
"HJRAUU",70,1.87,18700,"Domingo","No","Normal"
"NGEIHN",10,1.08,10800,"Sabado","No","Muy mala"
"COGTNY",89,2.74,27400,"Miercoles","No","Normal"
"HUYYBL",26,3.62,36200,"Sabado","No","Buena"
"HXBIOI",71,2.38,23800,"Sabado","Si","Mala"
"RWHZWQ",68,2.57,25700,"Sabado","No","Buena"
"ACQDXN",88,2.19,21900,"Viernes","Si","Mala"
"XWUBUP",6,1.78,17800,"Domingo","No","Muy Buena"
"LHGKQB",28,2.07,20700,"Martes","No","Normal"
"GANGYL",70,3.51,35100,"Sabado","No","Muy Buena"
"YNWYAU",71,3.87,38700,"Sabado","Si","Muy Buena"
"JFCHOJ",67,2.74,27400,"Domingo","Si","Muy Buena"
"GKGFYS",62,1.83,18300,"Jueves","No","Muy mala"
"GYSXGY",87,3.36,33600,"Sabado","Si","Normal"
"UPXNVU",58,2.26,22600,"Domingo","No","Normal"
"UTVLFI",87,1.84,18400,"Domingo","No","Mala"
"ELWMND",84,1.96,19600,"Sabado","No","Buena"
"VLHGTT",86,1.37,13700,"Sabado","No","Normal"
"OKYTFQ",71,0.9,9000,"Domingo","Si","Buena"
"ZVUEMW",69,2.61,26100,"Jueves","No","Normal"
"ILUJET",14,1.73,17300,"Viernes","No","Buena"
"WFALVQ",5,3,30000,"Miercoles","No","Buena"
"MEUPHL",55,1.57,15700,"Sabado","No","Buena"
"MCNEQI",48,3.15,31500,"Sabado","No","Normal"
"KDZBSE",28,3.61,36100,"Sabado","No","Muy Buena"
"GELHSR",40,3.49,34900,"Domingo","No","Normal"
"DPSGJK",60,3.92,39200,"Jueves","No","Buena"
"VCFGZV",72,2.76,27600,"Martes","No","Mala"
"CTYPKZ",15,0.75,7500,"Viernes","No","Mala"
"DJORLW",32,3.5,35000,"Sabado","No","Normal"
"MHUGUZ",49,3.58,35800,"Sabado","No","Normal"
"CADUJP",77,3.81,38100,"Sabado","No","Muy Buena"
"FCMBVR",78,1.29,12900,"Sabado","No","Normal"
"IAACWW",14,3.9,39000,"Viernes","No","Normal"
"VLOFZL",67,3.99,39900,"Jueves","No","Normal"
"BKTIHF",9,3,30000,"Martes","No","Muy Buena"
"GWOSAJ",14,1.75,17500,"Sabado","No","Normal"
"HLLRXO",89,3.75,37500,"Miercoles","No","Normal"
"SFXYDP",9,2.3,23000,"Sabado","No","Buena"
"WDCHST",24,2.27,22700,"Domingo","Si","Normal"
"XJIIMK",39,1.97,19700,"Jueves","No","Normal"
"IMZHGG",8,1.28,12800,"Martes","No","Muy Buena"
"CJQCIW",12,3.63,36300,"Lunes","No","Buena"
"XDROBT",44,2.07,20700,"Domingo","No","Muy mala"
"IOLLLB",23,3.3,33000,"Domingo","Si","Muy Buena"
"ULZMLG",63,1.37,13700,"Domingo","No","Normal"
"VFIHSK",91,1.36,13600,"Domingo","No","Normal"
"LQFBNM",86,1.49,14900,"Lunes","No","Buena"
"MURNHZ",23,2.76,27600,"Miercoles","No","Normal"
"MZDDUQ",29,2.65,26500,"Viernes","No","Muy Buena"
"WZRCAO",82,3.15,31500,"Sabado","No","Mala"
"MHMSZX",84,2.65,26500,"Sabado","No","Muy mala"
"PGTQMT",40,3.49,34900,"Viernes","No","Mala"
"IFSZAR",54,3.8,38000,"Lunes","Si","Muy Buena"
"DTOVNO",10,2.75,27500,"Miercoles","No","Muy mala"
"SDFBUP",81,2.3,23000,"Miercoles","No","Muy mala"
"WYAYNU",46,3.63,36300,"Sabado","No","Muy Buena"
"HEYGCJ",49,0.78,7800,"Sabado","No","Mala"
"JDHEMY",53,1.27,12700,"Domingo","No","Muy Buena"
"WAIOKN",62,1.6,16000,"Domingo","No","Muy Buena"
"LSNGHY",35,0.52,5200,"Sabado","No","Buena"
"KPPANU",91,0.87,8700,"Sabado","Si","Buena"
"URWJUV",45,3.55,35500,"Miercoles","No","Muy Buena"
"JWGORP",82,3.92,39200,"Lunes","No","Buena"
"SEQSYZ",50,2.09,20900,"Martes","No","Mala"
"JKQCSO",51,2.17,21700,"Viernes","No","Mala"
"GJBNYO",60,3.18,31800,"Domingo","Si","Muy Buena"
"CFCGDD",66,0.72,7200,"Viernes","No","Normal"
"VHKWBA",42,3.47,34700,"Viernes","No","Buena"
"DEIDIB",24,0.77,7700,"Lunes","No","Normal"
"KYPXJW",80,2.22,22200,"Martes","No","Buena"
"IYTIZT",46,0.92,9200,"Lunes","No","Buena"
"FCRGUD",34,1.22,12200,"Viernes","No","Mala"
"DIDABG",10,2.12,21200,"Miercoles","Si","Muy Buena"
"AFXZPE",40,1.83,18300,"Miercoles","No","Buena"
"RDOUMR",39,3.75,37500,"Miercoles","No","Normal"
"HRZWWS",27,3.8,38000,"Domingo","No","Normal"
"IRQGBF",41,2.59,25900,"Jueves","No","Normal"
"REJSFF",92,2.83,28300,"Domingo","No","Muy Buena"
"ULRIJD",71,0.95,9500,"Domingo","No","Buena"
"VRFFMD",65,3.48,34800,"Martes","No","Buena"
"MAUDZQ",85,3.01,30100,"Lunes","No","Mala"
"VXVHFG",44,1.18,11800,"Sabado","No","Mala"
"DXKPSR",34,0.86,8600,"Domingo","No","Normal"
"QIMPTN",10,2.28,22800,"Jueves","Si","Buena"
"OAJTIT",48,1.48,14800,"Domingo","No","Muy Buena"
"HZDCOV",42,0.6,6000,"Martes","Si","Normal"
"EGHOPC",68,3.01,30100,"Domingo","No","Muy mala"
"HDVSSY",22,3.17,31700,"Lunes","Si","Muy mala"
"TEFBWH",91,3.4,34000,"Miercoles","No","Mala"
"CXPWHA",77,2.61,26100,"Viernes","No","Mala"
"OQZPFC",41,3.27,32700,"Lunes","No","Buena"
"TEBOWH",14,3.73,37300,"Sabado","No","Normal"
"OOUQCQ",57,0.55,5500,"Miercoles","No","Mala"
